,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,AVGDIST,bAVD,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
33,0.0019273619,0.0054271757,0.00019371956,0.0021124112,0.00013326827,0.0024877356,0.0010720266,0.0005392391,0.0097919535,237.13179,4.1206837,14.186917,8.287219e-05,0.0051919874,0.0001247638,1.2036867e-07,0.00061713136,1.1983912e-05,0.0046544466,0.0019273619,3.445584e-05,1.1983781e-05,243550800000.0,3019600000.0,324195420000.0,3505945900.0,301634850000.0,262937700000.0
34,0.0014239275,0.004167376,9.81912e-05,0.0015690235,0.000108968496,0.0018762364,0.0007712633,0.0009253116,0.009959423,313.60873,3.967784,15.159145,7.790674e-05,0.004442876,0.00010228225,8.5320345e-08,0.00032431062,1.2491956e-05,0.0046740873,0.0014239275,2.8082666e-05,1.2491987e-05,248038010000.0,3164564700.0,323853120000.0,2821355800.0,301634850000.0,268336380000.0
35,0.0017319055,0.0050482373,0.0008791368,0.0020637328,0.0002762611,0.0028035678,0.00085924024,0.0012054265,0.0060714646,97.662575,3.4337559,12.858513,0.0001763313,0.008927514,0.00024741868,1.1682966e-07,0.0034089275,1.05286745e-05,0.0041585043,0.0017319055,7.251e-05,1.0528728e-05,185732060000.0,2691756300.0,317568780000.0,15504295000.0,301634850000.0,199451750000.0
36,0.00017186,0.0003847475,0.00043271904,0.00025193146,0.00031648297,0.00053138006,0.0007128159,0.00074225833,0.005128744,292.22055,3.374977,4.268904,0.0013395251,0.008900328,0.00028054163,9.612919e-09,0.0016287687,7.1439977e-06,0.0023013921,0.00017186,8.511995e-05,7.1440045e-06,171333100000.0,1699693000.0,321962340000.0,18483778000.0,301634850000.0,187886340000.0
37,0.0016687432,0.004794296,4.068589e-05,0.0018054098,8.194551e-05,0.0020680248,0.000815213,0.0014176276,0.011608002,276.19238,3.23695,15.321132,6.3796356e-06,0.0032649375,7.440158e-05,9.5354004e-08,9.6709184e-05,1.35634045e-05,0.0050521656,0.0016687432,2.1062477e-05,1.3563516e-05,267070080000.0,3459439400.0,320748680000.0,1116725400.0,301634850000.0,284831350000.0
38,0.0015204257,0.004371981,6.146034e-05,0.0016429671,8.4408275e-05,0.0018838741,0.00081740407,0.0008210525,0.011561208,166.8485,3.9781783,14.537227,2.5241154e-05,0.0034780626,7.8775054e-05,9.3978e-08,0.00016798766,1.2130932e-05,0.0040388424,0.0015204257,2.1710324e-05,1.21309495e-05,270686620000.0,3003987700.0,330689380000.0,941172540.0,301634850000.0,297575780000.0
39,0.0014213988,0.004179249,0.0001560246,0.0016274797,0.00018354294,0.002096567,0.0007060631,0.0012201141,0.008553021,162.7027,3.1878731,15.316915,0.00013384366,0.0070910673,0.00017637537,8.268967e-08,0.00043975902,2.2252832e-05,0.003915872,0.0014213988,4.7744335e-05,2.22527e-05,248823230000.0,5226054000.0,362848880000.0,2742242000.0,301634850000.0,304567900000.0
40,0.0016234963,0.0047088633,0.0001284477,0.0017784056,0.0001063768,0.0020958825,0.00088385126,0.0011353279,0.01029147,180.75322,3.6436927,15.432248,1.952154e-05,0.0043081325,9.9242345e-05,9.544425e-08,0.0004022095,1.2930541e-05,0.004612723,0.0016234963,2.7399605e-05,1.293056e-05,252676720000.0,3271110000.0,323229970000.0,2373772800.0,301634850000.0,272204170000.0
41,0.0015651222,0.004593425,0.00012711604,0.0017160593,0.00010230122,0.0020273987,0.0008101499,0.0010419,0.01031015,185.54817,3.4359875,14.828954,2.8082844e-05,0.0041601956,9.49926e-05,9.155692e-08,0.00041780298,1.1933526e-05,0.0046749213,0.0015651222,2.6323296e-05,1.1933475e-05,249124550000.0,3051159300.0,317783930000.0,2744785700.0,301634850000.0,263659340000.0
42,0.0014417957,0.004137264,5.5288896e-05,0.0015518485,7.320317e-05,0.0017632516,0.0007828648,0.000645648,0.011438,234.63666,3.4835603,12.003562,1.4775178e-06,0.0029964845,6.744936e-05,8.7264915e-08,0.00014216657,9.639698e-06,0.004177438,0.0014417957,1.8808274e-05,9.639667e-06,259432070000.0,2479185700.0,311995630000.0,1646873500.0,301634850000.0,268625100000.0
