,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,AVGDIST,bAVD,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
31,0.93578696,0.8810495,0.97805554,0.9321355,0.98643947,0.924965,0.95666504,0.9737605,0.24590424,32.808342,1.1084375,2.1573944,0.0126152495,0.0973325,0.013125749,0.00047025003,0.96099526,0.99511576,0.9137417,0.93578696,0.9931582,0.00488425,856786.0,77094.5,15805650.0,37685.5,894471.75,933881.25
32,0.89805377,0.818851,0.93794274,0.8916422,0.9763793,0.879908,0.92895746,0.9499208,0.209957,35.691257,2.99927,3.7083635,0.018188251,0.1426865,0.02200125,0.00083325,0.879627,0.9962585,0.92488027,0.89805377,0.98793423,0.0037415,751370.75,59327.25,15823416.0,143101.0,894471.75,810698.0
33,0.92342275,0.8599918,0.9624597,0.91901124,0.9837078,0.9105092,0.947748,0.97932154,0.23344223,33.86593,1.3539317,2.2160556,0.023177002,0.11359975,0.01583625,0.00057599996,0.9293645,0.99555475,0.9189328,0.92342275,0.99176025,0.00444525,826302.5,70074.25,15812670.0,68169.0,894471.75,896376.75
34,0.931721,0.87388027,0.9694815,0.92771196,0.98518074,0.91988254,0.95528954,0.9752353,0.23911175,32.39666,1.2289945,2.177789,0.01203275,0.10488075,0.014384501,0.0005075,0.943362,0.9956017,0.92239726,0.931721,0.99251324,0.00439825,838209.25,69343.75,15813401.0,56262.5,894471.75,907552.75
35,0.9173385,0.8493478,0.95697075,0.9121188,0.980832,0.9021793,0.9474488,0.965014,0.2246325,31.567436,1.6195755,2.5361195,0.0218975,0.12578325,0.018343251,0.00063250004,0.9182368,0.99570477,0.92021024,0.9173385,0.990267,0.00429525,799027.0,67848.25,15814896.0,95444.5,894471.75,866875.75
36,0.84776425,0.73592323,0.91672623,0.83926725,0.9687557,0.82412624,0.8939384,0.962548,0.189371,48.15428,3.719511,4.129311,0.05886225,0.19095351,0.029824499,0.0012367499,0.84030926,0.99314326,0.85855854,0.84776425,0.98406,0.00685675,735410.5,108368.0,15774377.0,159061.25,894471.75,843778.25
37,0.9325577,0.8756242,0.9743267,0.9287665,0.98592174,0.92136604,0.95425296,0.97726977,0.24337101,31.005735,1.1105678,2.1728761,0.01582775,0.100676,0.01364125,0.00049299997,0.9534455,0.9952078,0.9144445,0.9325577,0.9928945,0.00479225,850943.0,75680.5,15807064.0,43528.5,894471.75,926623.75
38,0.9313183,0.873274,0.97110426,0.92745525,0.98568475,0.9199133,0.95314455,0.9811585,0.24144274,24.629528,1.2090826,2.1201165,0.0175855,0.1028375,0.01394325,0.00051000004,0.94691724,0.99529123,0.9174245,0.9313183,0.99277425,0.00470875,847333.0,74094.75,15808650.0,47139.0,894471.75,921427.5
39,0.9257685,0.8634973,0.97414154,0.9210777,0.98279524,0.9119755,0.95366925,0.969907,0.2368085,25.743406,1.1430247,2.214207,0.0204665,0.117615245,0.016678,0.0005455,0.9545425,0.9937405,0.90022874,0.9257685,0.99128604,0.0062595,846250.75,97978.0,15784766.0,48220.75,894471.75,944229.0
40,0.93153626,0.8737865,0.97416574,0.92753804,0.98520774,0.919739,0.95511824,0.97328174,0.24129,23.726254,1.1917738,2.2075698,0.01418,0.1044975,0.014333,0.00050525,0.95322573,0.9951055,0.9126088,0.93153626,0.9925275,0.0048945,846336.0,77233.0,15805512.0,48135.5,894471.75,923568.75
41,0.933896,0.8778755,0.9721235,0.93005323,0.9857775,0.92254126,0.9576583,0.9766537,0.24138749,23.666195,1.1517478,2.1527746,0.0130415,0.101172,0.01379125,0.00048875,0.9485567,0.9956902,0.9215823,0.933896,0.9928173,0.00430975,842050.0,68082.0,15814662.0,52421.75,894471.75,910132.0
